famille	rang	photo	libelle1	libelle2	libelle3	libelle4	libelle5	libelle6	pvttc	pvht	tva	tph	pvbarre	refweb	etat	four	reffour
51	90	gba-400-3ber.jpg	RODANIAGBA-400-3BER	Montre casio GSHOCK Bracelet vert					  38000.00	  37623.76	    376.24	      0.00	      0.00	REB3-004-ABG 999	S	999	GBA-400-3BER
51	91	gba-400-3ber.jpg	CASIOGBA-400-3BER	Montre casio GSHOCK Bracelet vert					  38000.00	  37623.76	    376.24	      0.00	      0.00	REB3-004-ABG   4		4	GBA-400-3BER
31	1	d6-10.jpg	DIAM'SD6.10	Boucle d'oreille en or jaune 18 carats 8 diamants de 0,01 carat couleur F pureté SII		Or jaune<BR>OR 18 CARATS<BR>1,30 Gr<BR><PUn><BR><PCn>			  53874.00	  53739.64	    134.36	      0.00	      0.00	01.6D 999		999	D6.10
31	2	d6-10-ob.jpg	DIAM'SD6.10/OB	Boucle d'oreille en or blanc 18 carats 8 diamants 0.01 carats  F SI 1		Or blanc<BR>OR 18 CARATS<BR>1,30 Gr<BR><PUn><BR><PCn>			  51859.00	  51729.66	    129.34	      0.00	      0.00	BO/01.6D 999		999	D6.10/OB
31	3	d6-14-ob.jpg	DIAM'SD6.14/OB	Boucle d'oreille en or blanc 18 carats 60  diamants 0.01 24 diamants 0.02 carat en F SI 1		Or blanc<BR>OR 18 CARATS<BR>4,70 Gr<BR><PUn><BR><PCn>			 424418.00	 423359.50	   1058.50	      0.00	      0.00	BO/41.6D 999		999	D6.14/OB
31	4	d6-15-ob.jpg	DIAM'SD6.15/OB	Boucle d'oreilles en or blanc 18 carats , 88 diamants de 0,01 en F.SI1		Or blanc<BR>OR 18 CARATS<BR>4,30 Gr<BR><PUn><BR><PCn>			 478594.00	 477400.39	   1193.61	      0.00	      0.00	BO/51.6D 999		999	D6.15/OB
31	5	d6-27-ob.jpg	DIAM'SD6.27/OB	Boucle d'oreille en or blanc 18 carats 80 diamants 0.02 carat  Couleur F Pureté SI1		Or blanc<BR>OR 18 CARATS<BR>9,70 Gr<BR><PUn><BR><PCn>			 657379.00	 655739.50	   1639.50	      0.00	      0.00	BO/72.6D 999		999	D6.27/OB
31	6	d6-3-ob.jpg	DIAM'SD6.3-OB	Boucle d'oreilles en or blanc 18 carats 32 diamants de 0,01 carats couleur F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>2,70 Gr<BR><PUn><BR><PCn>			 146500.00	 146134.63	    365.37	      0.00	      0.00	BO-3.6D 999		999	D6.3-OB
31	7	d6-36-ob.jpg	DIAM'SD6.36-OB	Boucle d'oreilles en or blanc 18 carats 18 diamants de 0,01 carats couleur F pureté SI1		Or blanc<BR>OR 18 CARATS<BR>2,10 Gr<BR><PUn><BR><PCn>			 144721.00	 144360.07	    360.93	      0.00	      0.00	BO-63.6D 999		999	D6.36-OB
31	8	d6-39.jpg	DIAM'SD6.39	Boucle d'oreilles en or jaune 18 carats 14 diamants de 0,01 carat couleur F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>1,30 Gr<BR><PUn><BR><PCn>			  67400.00	  67231.90	    168.10	      0.00	      0.00	93.6D 999		999	D6.39
31	9	d6-42-ob.jpg	DIAM'SD6.42-OB	Boucles d'oreilles en or blanc 18 carats de 28 diamants de 0,01 cts e		<BR>OR 18 CARATS<BR>6,50 Gr<BR><PUn><BR><PCn>			 157192.00	 156799.96	    392.04	      0.00	      0.00	BO-24.6D 999		999	D6.42-OB
31	10	d6-43-ob.jpg	DIAM'SD6.43-OB	Boucle d'oreille ancre de marine en or blanc 18 cts 0.36 carats de diamants en F.SI1		Or blanc<BR>OR 18 CARATS<BR>1,30 Gr<BR><PUn><BR><PCn>			 124200.00	 123890.25	    309.75	      0.00	      0.00	BO-34.6D 999		999	D6.43-OB
31	11	d6-52.jpg	DIAM'SD6.52	Boucles d'oreilles en or jaune 18 carats 10 diamants de 0,01 couleur  F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>1,40 Gr<BR><PUn><BR><PCn>			  48200.00	  48079.79	    120.21	      0.00	      0.00	25.6D 999		999	D6.52
31	12	d6-59.jpg	DIAM'SD6.59	Boucle d'oreille en or jaune 18 carats sertie de 18 diamants de 0,01 ct en FSI		Or jaune<BR>OR 18 CARATS<BR>3,00 Gr<BR><PUn><BR><PCn>			 139999.00	 139649.84	    349.16	      0.00	      0.00	95.6D 999		999	D6.59
31	13	d6-6.jpg	DIAM'SD6.6	Boucles d'oreilles en or jaune 18 carats 50 diamants de 0,01 carats couleur F pureté SI1		<BR>OR 18 CARATS<BR>2,70 Gr<BR><PUn><BR><PCn>			 229552.00	 228979.50	    572.50	      0.00	      0.00	6.6D 999		999	D6.6
31	14	d6-60.jpg	DIAM'SD6.60	Boucles d'oreilles en or jaune 18 carats 52 diamants de 0,01 carat couleur F pureté SI1		<BR>OR 18 CARATS<BR>3,00 Gr<BR><PUn><BR><PCn>			 236480.00	 235890.22	    589.78	      0.00	      0.00	06.6D 999		999	D6.60
11	2	0-36.jpg	DIAM'S0.36	Solitaire en or jaune 18 carats 1 diamant de 0.20 carat couleur F pureté SI1		Or jaune<BR>OR 18 CARATS<BR>2,80 Gr<BR><PUn><BR><PCn>			 130100.00	 129775.53	    324.47	      0.00	      0.00	63.0 999		999	0.36
