famille	four	reffour	refweb	qte	taille
17	999	R.7-OB	BO-7.R 999	1	0
17	999	RB.2	2.BR 999	1	0
17	999	RB.4	4.BR 999	1	0
17	999	RB.4-L10.9	9.01L-4.BR 999	1	0
17	999	RB.5-L10.17	71.01L-5.BR 999	1	0
17	999	RB.5-OB	BO-5.BR 999	1	0
17	999	RB.6	6.BR 999	1	0
17	999	RB.6-L10.9	9.01L-6.BR 999	1	0
17	999	RB.7-OB	BO-7.BR 999	1	0
2C	999	BEAR	RAEB 999	1	unique
2C	999	CAT	TAC 999	1	unique
2C	999	CERF	FREC 999	1	unique
2C	999	COQ	QOC 999	1	unique
2C	999	ECUREUIL	LIUERUCE 999	1	unique
2C	999	ELEPHANT	TNAHPELE 999	1	unique
2C	999	FLAMANT	TNAMALF 999	1	unique
2C	999	FOX	XOF 999	0	unique
2C	999	LICORNE	ENROCIL 999	1	unique
2C	999	PANDA	ADNAP 999	1	unique
2C	999	PIG	GIP 999	1	unique
2C	999	RABBIT	TIBBAR 999	1	unique
2C	999	WHALE	ELAHW 999	1	unique
21	999	3.763	367.3 999	0	unique
21	999	3.763-OB	BO-367.3 999	1	unique
21	999	3.831	138.3 999	0	unique
21	999	3.908/OB	BO/809.3 999	1	unique
21	999	3.928	829.3 999	1	unique
21	999	3.928/OB	BO/829.3 999	0	unique
21	999	D10.20	02.01D 999	1	unique
21	999	D3.102-OB	BO-201.3D 999	1	unique
21	999	D3.109-OB	BO-901.3D 999	0	unique
21	999	D3.112	211.3D 999	1	unique
21	999	D3.119-OB	BO-911.3D 999	2	unique
21	999	D3.128-OB	BO-821.3D 999	1	unique
21	999	D3.13-OB	BO-31.3D 999	1	unique
21	999	D3.21/OB	BO/12.3D 999	1	unique
21	999	D3.24	42.3D 999	1	unique
21	999	D3.24/OB	BO/42.3D 999	0	unique
21	999	D3.29	92.3D 999	0	unique
21	999	D3.29/OB	BO/92.3D 999	1	unique
21	999	D3.36-OB	BO-63.3D 999	1	unique
21	999	D3.38/OB	BO/83.3D 999	1	unique
21	999	D3.46/OB	BO/64.3D 999	1	unique
21	999	D3.47	74.3D 999	1	unique
21	999	D3.53-OB	BO-35.3D 999	1	unique
21	999	D3.54/OB	BO/45.3D 999	1	unique
21	999	D3.58/OB	BO/85.3D 999	0	unique
21	999	D3.64	46.3D 999	0	unique
21	999	D3.64-OB	BO-46.3D 999	1	unique
21	999	D3.70	07.3D 999	1	unique
21	999	D3.74-OB	BO-47.3D 999	0	unique
21	999	D3.77	77.3D 999	1	unique
21	999	D3.79-BTSA	ASTB-97.3D 999	1	unique
21	999	D3.79-OB	BO-97.3D 999	0	unique
21	999	D3.82	28.3D 999	1	unique
21	999	D3.85	58.3D 999	1	unique
21	999	D3.91-OB	BO-19.3D 999	1	unique
21	999	D3.92	29.3D 999	1	unique
21	999	L3.42	24.3L 999	1	unique
21	999	L3.70	07.3L 999	1	unique
21	999	L3.71	17.3L 999	1	unique
21	999	L3.984-OB-SR	RS-BO-489.3L 999	1	unique
21	999	L3.984/OB	BO/489.3L 999	1	unique
21	999	L3.984/OB/SR	RS/BO/489.3L 999	0	unique
21	999	L3.986-OB	BO-689.3L 999	1	unique
51	4	***2505323	3235052***   4	1	unique
51	4	***2505326	6235052***   4	1	unique
51	4	***2506345	5436052***   4	1	unique
51	4	***2610653	3560162***   4	1	unique
51	4	***2610655	5560162***   4	1	unique
51	4	***2611429	9241162***   4	1	unique
51	4	***AQF-102WL-4B	B4-LW201-FQA***   4	1	unique
51	4	***GB-5600B-9ER	RE9-B0065-BG***   4	1	unique
51	4	2452147	7412542   4	1	unique
51	4	2452247	7422542   4	1	unique
51	4	2507527	7257052   4	1	unique
51	4	2508226	6228052   4	1	unique
51	4	2508846	6488052   4	1	unique
51	4	2511049	9401152   4	1	unique
51	4	2513520	0253152   4	1	unique
51	4	2514443	3444152   4	2	unique
51	4	2514449	9444152   4	1	unique
51	4	2608627	7268062   4	1	unique
51	4	2608629	9268062   4	1	unique
51	4	2608731	1378062   4	1	unique
51	4	2610654	4560162   4	1	unique
51	4	2611223	3221162   4	1	unique
51	4	2611424	4241162   4	1	unique
51	4	2616648	8466162   4	1	unique
51	4	2617933	3397162   4	1	unique
51	4	2622046	6402262   4	1	unique
51	4	2623843	3483262   4	1	unique
51	4	2623847	7483262   4	1	unique
51	4	2623849	9483262   4	1	unique
51	4	2624529	9254262   4	2	unique
51	4	2624536	6354262   4	2	unique
51	4	2629652	2569262   4	1	unique
51	4	AWG-M100SB-2 AE	EA 2-BS001M-GWA   4	1	unique
51	4	G-7700-1ER	RE1-0077-G   4	1	unique
51	4	GA-100CG-2A ER	RE A2-GC001-AG   4	1	unique
51	4	GA-100CG-7A ER	RE A7-GC001-AG   4	1	unique
51	4	GA-100DE-2A ER	RE A2-ED001-AG   4	1	unique
51	4	GA-100L-1AER	REA1-L001-AG   4	1	unique
51	4	GA-100L-2A ER	RE A2-L001-AG   4	1	unique
51	4	GA-1100-1A3 ER	RE 3A1-0011-AG   4	1	unique
51	4	GA-110HR-1A ER	RE A1-RH011-AG   4	1	unique
51	4	GA-110LN-1A ER	RE A1-NL011-AG   4	2	unique
51	4	GA-110LN-2A ER	RE A2-NL011-AG   4	1	unique
51	4	GA-110RG-7A ER	RE A7-GR011-AG   4	1	unique
51	4	GA-110TS-1A4 ER	RE 4A1-ST011-AG   4	1	unique
51	4	GA-135A-1AER	REA1-A531-AG   4	1	unique
51	4	GA-500K-3AER	REA3-K005-AG   4	1	unique
51	4	GA-700-2A ER	RE A2-007-AG   4	1	unique
51	4	GA-700-4A ER	RE A4-007-AG   4	1	unique
51	4	GA-735A-1AER	REA1-A537-AG   4	1	unique
51	4	GA-800-1AER	REA1-008-AG   4	1	unique
51	4	GA-800-4AER	REA4-008-AG   4	1	unique
51	4	GA-835A-1AER	REA1-A538-AG   4	1	unique
51	4	GAX-100B-7A ER	RE A7-B001-XAG   4	1	unique
51	4	GB-5600B-K8 ER	RE 8K-B0065-BG   4	1	unique
51	4	GB-6900B-7ER	RE7-B0096-BG   4	1	unique
51	4	GBA-400-4AER	REA4-004-ABG   4	1	unique
[FIN]
